"fipscode","statecode","countycode","v004_numerator","v004_denominator","v004_cilow","v004_cihigh","problem","v004_rawvalue","v004_rawalternatevalue","v004_flag_ct"
"01000","01","000",3292,5074296,NA,NA,NA,0.000648759946207316,1541.40218712029,NA
"02000","02","000",701,733583,NA,NA,NA,0.000955583758075092,1046.48074179743,NA
"04000","04","000",4867,7359197,NA,NA,NA,0.000661349329281442,1512.06020135607,NA
"05000","05","000",2112,3045637,NA,NA,NA,0.00069345099235398,1442.06297348485,NA
"06000","06","000",32549,39029342,NA,NA,NA,0.000833962304565627,1199.09496451504,NA
"08000","08","000",4882,5839926,NA,NA,NA,0.000835969496873762,1196.21589512495,NA
"09000","09","000",NA,NA,NA,NA,NA,NA,NA,"U"
"10000","10","000",773,1018396,NA,NA,NA,0.00075903675976732,1317.45924967658,NA
"11000","11","000",895,671803,NA,NA,NA,0.00133223578936087,750.617877094972,NA
"12000","12","000",16262,22244823,NA,NA,NA,0.000731046500122748,1367.9020415693,NA
"13000","13","000",7320,10912876,NA,NA,NA,0.000670767266117566,1490.83005464481,NA
"15000","15","000",1250,1440196,NA,NA,NA,0.000867937419628995,1152.1568,NA
"16000","16","000",1205,1939033,NA,NA,NA,0.000621443781513775,1609.15601659751,NA
"17000","17","000",10310,12582032,NA,NA,NA,0.000819422490739175,1220.37167798254,NA
"18000","18","000",4533,6833037,NA,NA,NA,0.000663394622332647,1507.39841164792,NA
"19000","19","000",2358,3200517,NA,NA,NA,0.000736755967863942,1357.30152671756,NA
"20000","20","000",2310,2937150,NA,NA,NA,0.000786476686583933,1271.49350649351,NA
"21000","21","000",2845,4512310,NA,NA,NA,0.000630497461388956,1586.04920913884,NA
"22000","22","000",3272,4590241,NA,NA,NA,0.000712816603746949,1402.88539119804,NA
"23000","23","000",1475,1385340,NA,NA,NA,0.00106472057401071,939.213559322034,NA
"24000","24","000",5302,6164660,NA,NA,NA,0.00086006365314551,1162.70463975858,NA
"25000","25","000",7200,6981974,NA,NA,NA,0.00103122698537691,969.718611111111,NA
"26000","26","000",8096,10034113,NA,NA,NA,0.000806847600779461,1239.39142786561,NA
"27000","27","000",5122,5717184,NA,NA,NA,0.000895895601750792,1116.20148379539,NA
"28000","28","000",1635,2940057,NA,NA,NA,0.000556111667222778,1798.2,NA
"29000","29","000",4447,6177957,NA,NA,NA,0.000719817247028427,1389.2415111311,NA
"30000","30","000",937,1122867,NA,NA,NA,0.00083447104599209,1198.36392742796,NA
"31000","31","000",1491,1967923,NA,NA,NA,0.000757651595108142,1319.86787391013,NA
"32000","32","000",1864,3177772,NA,NA,NA,0.000586574493072505,1704.81330472103,NA
"33000","33","000",1207,1395231,NA,NA,NA,0.000865089723493816,1155.94946147473,NA
"34000","34","000",7343,9261699,NA,NA,NA,0.000792835094295334,1261.29633664715,NA
"35000","35","000",1575,2113344,NA,NA,NA,0.0007452643772145,1341.80571428571,NA
"36000","36","000",16276,19677151,NA,NA,NA,0.000827152264065057,1208.96725239617,NA
"37000","37","000",7608,10698973,NA,NA,NA,0.000711096289335434,1406.27931125131,NA
"38000","38","000",619,779261,NA,NA,NA,0.000794342332029962,1258.90306946688,NA
"39000","39","000",9012,11756058,NA,NA,NA,0.000766583492527852,1304.48934753662,NA
"40000","40","000",2397,4019800,NA,NA,NA,0.000596298323299667,1677.01293283271,NA
"41000","41","000",4041,4240137,NA,NA,NA,0.000953035243908393,1049.27913882702,NA
"42000","42","000",10421,12972008,NA,NA,NA,0.000803345172158389,1244.79493330774,NA
"44000","44","000",1054,1093734,NA,NA,NA,0.000963671239990711,1037.69829222011,NA
