"statecode","countycode","fipscode","v177_denominator","v177_numerator","v177_rawvalue","v177_cilow","v177_cihigh","problem"
"00","000","00000",233440760,158528503,0.679095214563215,NA,NA,NA
"01","000","01000",3709180,2323282,0.626360004097941,NA,NA,NA
"02","000","02000",532555,359530,0.675103979870624,NA,NA,NA
"04","000","04000",5049925,3387326,0.670767585657213,NA,NA,NA
"05","000","05000",2219480,1219069,0.549258835402887,NA,NA,NA
"06","000","06000",25774910,17500881,0.678989024597952,NA,NA,NA
"08","000","08000",4153975,3279980,0.789600322582587,NA,NA,NA
"09","000","09000",2615815,1823857,0.697242350854323,NA,NA,NA
"10","000","10000",723160,504346,0.697419658166934,NA,NA,NA
"11","000","11000",528025,344356,0.652158515221817,NA,NA,NA
"12","000","12000",15296735,11067456,0.723517534951086,NA,NA,NA
"13","000","13000",7482330,4999960,0.668235696634604,NA,NA,NA
"15","000","15000",1020515,579784,0.568128836910775,NA,NA,NA
"16","000","16000",1255410,868014,0.691418739694602,NA,NA,NA
"17","000","17000",9064395,6033743,0.665653140667414,NA,NA,NA
"18","000","18000",4933505,3033118,0.614799822844002,NA,NA,NA
"19","000","19000",2331655,1700130,0.729151611194624,NA,NA,NA
"20","000","20000",2097050,1372303,0.654396890870509,NA,NA,NA
"21","000","21000",3362355,2136768,0.635497441525359,NA,NA,NA
"22","000","22000",3467870,2148062,0.619418259623342,NA,NA,NA
"23","000","23000",1070610,828305,0.773675754943443,NA,NA,NA
"24","000","24000",4313170,3037030,0.704129445396309,NA,NA,NA
"25","000","25000",5030985,3658005,0.727095191100749,NA,NA,NA
"26","000","26000",7528995,5539302,0.735729270639707,NA,NA,NA
"27","000","27000",4113450,3277171,0.796696447021357,NA,NA,NA
"28","000","28000",2238135,1313759,0.586988273718967,NA,NA,NA
"29","000","29000",4630115,3025962,0.653539274942415,NA,NA,NA
"30","000","30000",823795,603674,0.732796387450761,NA,NA,NA
"31","000","31000",1373560,956383,0.696280468272227,NA,NA,NA
"32","000","32000",2071270,1405376,0.678509320368663,NA,NA,NA
"33","000","33000",1065300,806182,0.756765230451516,NA,NA,NA
"34","000","34000",6156380,4549353,0.738965593416911,NA,NA,NA
"35","000","35000",1511405,923965,0.611328532061228,NA,NA,NA
"36","000","36000",13764740,8661735,0.629269786425316,NA,NA,NA
"37","000","37000",7636495,5524802,0.723473530723192,NA,NA,NA
"38","000","38000",564940,361819,0.640455623606047,NA,NA,NA
"39","000","39000",8855290,5922202,0.668775613221024,NA,NA,NA
"40","000","40000",2855800,1560699,0.546501505707683,NA,NA,NA
"41","000","41000",3108030,2374321,0.763931171835536,NA,NA,NA
"42","000","42000",9778955,6915283,0.707159711850602,NA,NA,NA
"44","000","44000",795020,516990,0.650285527408116,NA,NA,NA
"45","000","45000",3849680,2514096,0.653066228881362,NA,NA,NA
"46","000","46000",644865,422609,0.655344917153203,NA,NA,NA
"47","000","47000",5082240,3053851,0.600886813688452,NA,NA,NA
"48","000","48000",18578830,11315056,0.609029524464135,NA,NA,NA
"49","000","49000",2082895,1488289,0.714529056913575,NA,NA,NA
"50","000","50000",497390,370968,0.745829228573152,NA,NA,NA
"51","000","51000",6198540,4460524,0.719608811107132,NA,NA,NA
"53","000","53000",5344645,4087631,0.764808701045626,NA,NA,NA
"54","000","54000",1428525,794652,0.556274478920565,NA,NA,NA
"55","000","55000",4392490,3298041,0.750836313799235,NA,NA,NA
"56","000","56000",435355,278503,0.639714715576943,NA,NA,NA
"01","001","01001",41960,27770,0.661820781696854,NA,NA,NA
